max/min/unt pos/px dpos/px int/cnt dint/cnt 
max 1487.5 3 3438 10
max 1528.3 3 3173 10
max 1574.9 3 3293 10
min 1504.8 3 2942 10
min 1558.1 3 2805 10
unt 0 0 87 10
unt 0 0 87 10
